order_date,city,quantity,unit_price,total_revenue,age,category,hour,day_of_week,is_weekend,guessed_gender
2024-08-11 22:46:00,Antalya,1,10717.0,10717.0,,Oven,22,Sunday,True,Male
2024-08-11 23:03:00,Sivas,1,16900.0,16900.0,,Dishwasher,23,Sunday,True,Female
2024-08-11 23:08:00,İstanbul,1,7115.0,7115.0,71+,Extractor Hood,23,Sunday,True,Male
2024-08-12 11:00:00,Bilecik,1,10440.0,10440.0,,Oven,11,Monday,False,Female
2024-08-12 14:04:00,İzmir,1,12848.0,12848.0,21-30,Vacuum Cleaner,14,Monday,False,Male
2024-08-12 18:58:00,Sakarya,1,10600.0,10600.0,31-40,Oven,18,Monday,False,Male
2024-08-12 19:20:00,Bursa,1,17070.0,17070.0,41-50,Dishwasher,19,Monday,False,Male
2024-08-12 20:58:00,Düzce,1,17070.0,17070.0,41-50,Dishwasher,20,Monday,False,Male
2024-08-12 23:51:00,Eskişehir,1,8367.0,8367.0,,Kitchen Robot,23,Monday,False,Female
2024-08-13 19:11:00,Muğla,1,17070.0,17070.0,,Dishwasher,19,Tuesday,False,Female
2024-08-13 19:31:00,İzmir,1,7375.0,7375.0,,Kitchen Robot,19,Tuesday,False,Female
2024-08-13 23:00:00,Diyarbakır,1,5520.0,5520.0,,Vacuum Cleaner,23,Tuesday,False,Female
2024-08-13 23:12:00,İstanbul,1,11759.02,11759.02,21-30,Oven,23,Tuesday,False,Female
2024-08-13 23:40:00,Van,1,2484.0,2484.0,,Blender,23,Tuesday,False,Female
2024-08-13 23:47:00,Balıkesir,1,2350.0,2350.0,71+,Toaster,23,Tuesday,False,Female
2024-08-14 01:37:00,İstanbul,1,16900.0,16900.0,31-40,Dishwasher,1,Wednesday,False,Unknown
2024-08-14 08:06:00,Çanakkale,1,3450.0,3450.0,,Toaster,8,Wednesday,False,Female
2024-08-14 08:47:00,Sinop,1,27800.0,27800.0,31-40,Refrigerator,8,Wednesday,False,Male
2024-08-14 10:17:00,Çankırı,1,6800.0,6800.0,,Cooktop,10,Wednesday,False,Female
2024-08-14 10:22:00,Osmaniye,1,15900.0,15900.0,71+,Dishwasher,10,Wednesday,False,Male
2024-08-14 11:47:00,İzmir,1,4427.0,4427.0,,Oven,11,Wednesday,False,Male
2024-08-14 11:50:00,İstanbul,1,16800.0,16800.0,,Washing Machine,11,Wednesday,False,Male
2024-08-14 12:10:00,Ankara,1,16800.0,16800.0,31-40,Washing Machine,12,Wednesday,False,Female
2024-08-14 12:18:00,Erzurum,2,5307.0,10614.0,31-40,Vacuum Cleaner,12,Wednesday,False,Male
2024-08-14 12:43:00,Amasya,1,4427.0,4427.0,21-30,Oven,12,Wednesday,False,Female
2024-08-14 13:13:00,Aydın,1,16792.0,16792.0,,Dishwasher,13,Wednesday,False,Female
2024-08-14 13:28:00,Muğla,1,19563.0,19563.0,,Dishwasher,13,Wednesday,False,Female
2024-08-14 13:35:00,İstanbul,1,1601.0,1601.0,41-50,Mixer,13,Wednesday,False,Male
2024-08-14 13:56:00,Ankara,1,1601.0,1601.0,51-60,Mixer,13,Wednesday,False,Male
2024-08-14 14:06:00,Rize,2,9926.0,19852.0,41-50,Kitchen Robot,14,Wednesday,False,Male
2024-08-14 14:21:00,Erzincan,1,1404.0,1404.0,51-60,Blender,14,Wednesday,False,Male
2024-08-14 15:07:00,İstanbul,1,9926.0,9926.0,21-30,Kitchen Robot,15,Wednesday,False,Female
2024-08-14 15:10:00,Kocaeli,1,16800.0,16800.0,21-30,Washing Machine,15,Wednesday,False,Female
2024-08-14 15:57:00,Antalya,1,22350.0,22350.0,71+,Refrigerator,15,Wednesday,False,Female
2024-08-14 15:58:00,Antalya,1,19700.0,19700.0,,Dryer,15,Wednesday,False,Male
2024-08-14 16:14:00,Antalya,1,10600.0,10600.0,31-40,Oven,16,Wednesday,False,Female
2024-08-14 16:29:00,Antalya,1,6800.0,6800.0,31-40,Cooktop,16,Wednesday,False,Female
2024-08-14 17:13:00,Balıkesir,1,1404.0,1404.0,,Blender,17,Wednesday,False,Female
2024-08-14 17:31:00,Siirt,1,16797.0,16797.0,,Dryer,17,Wednesday,False,Male
2024-08-14 19:09:00,İstanbul,1,6527.0,6527.0,71+,Cooktop,19,Wednesday,False,Male
2024-08-14 19:23:00,İstanbul,1,2310.0,2310.0,,Toaster,19,Wednesday,False,Male
2024-08-14 19:32:00,Bolu,1,11773.0,11773.0,,Oven,19,Wednesday,False,Male
2024-08-14 19:46:00,Kırklareli,1,1404.0,1404.0,,Blender,19,Wednesday,False,Female
2024-08-14 20:26:00,Edirne,1,4700.0,4700.0,,Oven,20,Wednesday,False,Male
2024-08-14 20:34:00,Ordu,1,19700.0,19700.0,71+,Dryer,20,Wednesday,False,Female
2024-08-14 21:03:00,İzmir,1,21043.0,21043.0,71+,Washing Machine,21,Wednesday,False,Female
2024-08-14 21:13:00,Aydın,1,16797.0,16797.0,41-50,Dryer,21,Wednesday,False,Female
2024-08-14 22:04:00,Mersin,1,7500.0,7500.0,31-40,Kitchen Robot,22,Wednesday,False,Female
2024-08-14 22:17:00,Kahramanmaraş,1,16792.0,16792.0,,Dishwasher,22,Wednesday,False,Male
2024-08-14 22:56:00,Van,1,16792.0,16792.0,,Dishwasher,22,Wednesday,False,Male
2024-08-14 23:05:00,İzmir,1,48900.0,48900.0,41-50,Refrigerator,23,Wednesday,False,Female
2024-08-14 23:21:00,Bursa,1,6983.0,6983.0,31-40,Extractor Hood,23,Wednesday,False,Male
2024-08-14 23:26:00,Eskişehir,1,2310.0,2310.0,,Toaster,23,Wednesday,False,Male
2024-08-14 23:34:00,Konya,1,10354.0,10354.0,,Oven,23,Wednesday,False,Male
2024-08-14 23:50:00,Bursa,1,3732.0,3732.0,21-30,Blender,23,Wednesday,False,Female
